timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/03/26 20:59:43.124, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:59:46.171, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:59:49.220, 38 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:59:52.286, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:59:55.369, 38 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:59:58.427, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:00:01.476, 38 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:00:04.524, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:00:07.572, 38 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:00:10.621, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:00:13.668, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:00:16.716, 38 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:00:19.764, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:00:22.811, 38 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:00:25.859, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:00:28.916, 38 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:00:31.963, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:00:35.009, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:00:38.056, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:00:41.124, 38 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:00:44.176, 38 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:00:47.238, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:00:50.311, 38 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:00:53.365, 38 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:00:56.425, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:00:59.473, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:01:02.536, 40 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:01:05.585, 38 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:01:08.633, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:01:11.680, 38 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:01:14.743, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:01:17.793, 38 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:01:20.841, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:01:23.890, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:01:26.938, 39 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:01:29.984, 38 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:01:33.032, 38 %, 2 %, 11313 MiB, 15360 MiB, 78
2026/03/26 21:01:36.077, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:01:39.128, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:01:42.176, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:01:45.222, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:01:48.271, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:01:51.318, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:01:54.365, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:01:57.411, 39 %, 2 %, 11313 MiB, 15360 MiB, 76
2026/03/26 21:02:00.460, 38 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:02:03.506, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:02:06.552, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:02:09.600, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:02:12.645, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:02:15.691, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
2026/03/26 21:02:18.737, 39 %, 2 %, 11313 MiB, 15360 MiB, 77
