timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/03/19 12:42:49.059, 32 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:42:52.106, 35 %, 2 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:42:55.154, 40 %, 2 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:42:58.214, 39 %, 2 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:43:01.293, 33 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:43:04.342, 36 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:43:07.389, 37 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:43:10.439, 38 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:43:13.484, 34 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:43:16.533, 40 %, 2 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:43:19.638, 37 %, 2 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:43:22.702, 36 %, 2 %, 11313 MiB, 15360 MiB, 38
2026/03/19 12:43:25.750, 38 %, 2 %, 11313 MiB, 15360 MiB, 38
2026/03/19 12:43:28.864, 25 %, 1 %, 11313 MiB, 15360 MiB, 38
2026/03/19 12:43:31.934, 40 %, 2 %, 11313 MiB, 15360 MiB, 38
2026/03/19 12:43:35.012, 34 %, 1 %, 11313 MiB, 15360 MiB, 38
2026/03/19 12:43:38.053, 41 %, 1 %, 11313 MiB, 15360 MiB, 38
2026/03/19 12:43:41.096, 39 %, 1 %, 11313 MiB, 15360 MiB, 38
2026/03/19 12:43:44.141, 40 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:43:47.202, 38 %, 2 %, 11313 MiB, 15360 MiB, 38
2026/03/19 12:43:50.243, 39 %, 2 %, 11313 MiB, 15360 MiB, 38
2026/03/19 12:43:53.292, 37 %, 2 %, 11313 MiB, 15360 MiB, 38
2026/03/19 12:43:56.331, 32 %, 2 %, 11313 MiB, 15360 MiB, 38
2026/03/19 12:43:59.408, 35 %, 1 %, 11313 MiB, 15360 MiB, 38
2026/03/19 12:44:02.473, 34 %, 2 %, 11313 MiB, 15360 MiB, 38
2026/03/19 12:44:05.521, 40 %, 2 %, 11313 MiB, 15360 MiB, 38
2026/03/19 12:44:08.573, 34 %, 2 %, 11313 MiB, 15360 MiB, 38
2026/03/19 12:44:11.648, 31 %, 1 %, 11313 MiB, 15360 MiB, 38
2026/03/19 12:44:14.721, 38 %, 1 %, 11313 MiB, 15360 MiB, 38
2026/03/19 12:44:17.861, 23 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:44:20.933, 40 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:44:23.975, 38 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:44:27.017, 39 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:44:30.090, 38 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:44:33.143, 38 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:44:36.204, 38 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:44:39.250, 37 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:44:42.298, 41 %, 2 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:44:45.343, 40 %, 2 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:44:48.385, 37 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:44:51.426, 39 %, 2 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:44:54.474, 39 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:44:57.515, 38 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:45:00.557, 40 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:45:03.597, 41 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:45:06.648, 38 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:45:09.700, 39 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:45:12.762, 31 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:45:15.827, 40 %, 2 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:45:18.873, 41 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:45:21.924, 29 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:45:24.967, 39 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:45:28.006, 36 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:45:31.053, 35 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:45:34.102, 38 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:45:37.162, 28 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:45:40.240, 39 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:45:43.281, 39 %, 2 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:45:46.326, 38 %, 2 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:45:49.372, 38 %, 2 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:45:52.417, 38 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:45:55.459, 40 %, 2 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:45:58.502, 39 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:46:01.565, 37 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:46:04.665, 27 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:46:07.809, 30 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:46:10.918, 40 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:46:14.007, 37 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:46:17.062, 41 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:46:20.180, 36 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:46:23.253, 31 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:46:26.311, 36 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:46:29.369, 34 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:46:32.422, 36 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:46:35.476, 41 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:46:38.566, 26 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:46:41.701, 28 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:46:44.882, 33 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:46:47.963, 38 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:46:51.030, 34 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:46:54.121, 28 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:46:57.192, 39 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:47:00.266, 34 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:47:03.353, 36 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:47:06.440, 30 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:47:09.548, 32 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:47:12.656, 30 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:47:15.771, 40 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:47:18.826, 39 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:47:21.890, 39 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:47:24.938, 38 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:47:27.993, 37 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:47:31.063, 38 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:47:34.124, 40 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:47:37.175, 40 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:47:40.252, 39 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:47:43.301, 40 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:47:46.354, 36 %, 1 %, 11313 MiB, 15360 MiB, 37
2026/03/19 12:47:49.408, 37 %, 1 %, 11313 MiB, 15360 MiB, 37
